LSOA21CD,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
E01004735,1057,85396.742,1441675272.0,16882,23483
E01002875,423,69023.75295000001,983629928.0,14251,21154
E01002825,900,137042.86999999994,1916586524.0,13985,21103
E01004763,964,74616.77000000002,1099912161.0,14741,20860
E01035721,767,78064.3302,1109198012.0,14209,20388
E01035708,459,37211.0,560244511.0,15056,20213
E01035716,643,50091.05440000001,657449678.0,13125,19370
E01033098,634,53244.74,775770340.0,14570,19256
E01004762,804,124995.80000000009,1629808302.0,13039,19187
E01002903,534,94495.86340000002,1182919495.0,12518,19144
E01004692,450,70140.21,879568536.0,12540,19141
E01004687,838,155083.4169,1860892101.0,11999,18508
E01004761,1097,133139.34999999995,1622004822.0,12183,18423
E01003934,1114,98546.70999999999,1293304951.0,13124,18257
E01033884,620,51415.130000000005,667523318.0,12983,18224
E01002874,449,56307.2928,673525662.0,11962,18066
E01002860,882,109235.39719999995,1272504449.0,11649,18015
E01002890,483,92559.91119999994,1077555890.0,11642,17898
E01002863,598,80554.98319999997,895986798.0,11123,17381
E01002910,583,68201.745,760159123.0,11146,17242
E01002886,599,76174.17999999992,855228391.0,11227,17203
E01002871,631,90206.66170000007,1010025858.0,11197,17173
E01002814,1089,104004.46000000002,1232094226.0,11847,17120
E01002861,528,62777.829399999995,685799386.0,10924,17115
E01002844,714,90007.94219999998,983479942.0,10927,17105
E01002911,760,114028.16079999998,1238304265.0,10860,16893
E01002818,1058,127468.90179999992,1344990536.0,10552,16750
E01002819,747,105917.05769999998,1117974513.0,10555,16569
E01002827,810,90256.75399999996,964023336.0,10681,16567
E01035713,1054,124101.18020000005,1294313043.0,10429,16500
E01002828,546,70943.7958,751946786.0,10599,16425
E01035688,776,54833.77999999999,662043686.0,12074,16333
E01002824,504,72319.81324999999,770130463.0,10649,16328
E01033132,928,66964.91,807584163.0,12060,16246
E01002914,757,87077.57340000007,916772336.0,10528,16109
E01004736,719,72494.71499999998,750500467.0,10352,15995
E01035714,1299,159616.75214999996,1623638326.0,10172,15987
E01033599,194,12469.599999999999,139008405.0,11148,15935
E01002859,810,93176.79809999996,949739798.0,10193,15903
E01033593,1030,77433.76299999999,810345087.0,10465,15765
E01002821,646,92586.68160000001,933529006.0,10083,15727
E01033862,799,61216.819999999985,666828497.0,10893,15548
E01004734,473,34538.84,351267232.0,10170,15498
E01035718,992,146983.71779999993,1464526860.0,9964,15480
E01002837,593,71536.36999999995,696849102.0,9741,15389
E01004717,678,52942.946,538869881.0,10178,15380
E01004690,529,126349.22099999995,1244307921.0,9848,15377
E01002813,704,98399.82120000003,981606607.0,9976,15321
E01002882,351,41902.085000000014,413614000.0,9871,15261
E01002817,632,85326.73819999995,827303237.0,9696,15188
E01002816,493,62841.40000000002,614332215.0,9776,15125
E01002902,844,77356.90400000008,747497600.0,9663,15099
E01002889,575,62283.51259999998,598536078.0,9610,15099
E01002873,417,52970.69819999998,515436056.0,9731,15076
E01004713,597,63471.452700000016,635885477.0,10018,15035
E01035498,554,46315.441000000006,501713234.0,10833,14942
E01004691,679,123595.67000000003,1192409722.0,9648,14929
E01033208,1043,92214.62670000001,905667997.0,9821,14909
E01035486,1145,126887.40999999999,1307886778.0,10307,14880
E01033597,549,39866.659999999996,372573226.0,9345,14877
E01002883,777,88757.84479999989,855214678.0,9635,14806
E01035720,589,50442.80600000001,499971072.0,9912,14805
E01002858,1167,49677.98900000001,458296841.0,9225,14725
E01002865,519,126475.71090000003,1231899867.0,9740,14671
E01002891,647,85884.84059999992,797936854.0,9291,14648
E01002812,817,71587.59480000005,646456600.0,9030,14637
E01002901,461,54621.27000000001,508025399.0,9301,14562
E01035656,573,41643.4,427227627.0,10259,14537
E01002862,877,32504.790000000008,290505703.0,8937,14523
E01004653,761,86253.53999999998,819513608.0,9501,14520
E01035496,373,30568.510000000002,323016674.0,10567,14486
E01002900,672,84795.6281,779477102.0,9192,14447
E01035497,287,21134.0,234447590.0,11093,14434
E01000946,526,58278.840000000004,557955850.0,9574,14365
E01032582,712,47562.130000000005,491139680.0,10326,14298
E01002835,895,89452.616,809857616.0,9053,14294
E01002898,807,101119.61439999995,924975377.0,9147,14293
E01002826,738,64119.114799999974,582604594.0,9086,14279
E01004731,1254,109934.47000000003,1039648316.0,9457,14235
E01000860,256,30758.030000000002,286382632.0,9311,14129
E01002836,685,58199.9226,517498173.0,8892,14105
E01032740,1337,78199.51000000001,741307024.0,9480,14082
E01000899,655,88643.03399999993,812901788.0,9171,14011
E01002899,616,50824.79879999999,465215045.0,9153,13972
E01002872,170,22369.15,202157642.0,9037,13947
E01002864,573,112515.61529999999,1022790267.0,9090,13937
E01000885,433,71935.0,652160540.0,9066,13905
E01002896,1035,99373.17999999998,882321734.0,8879,13869
E01002833,431,41328.18000000001,371358620.0,8986,13854
E01004765,736,57552.020000000004,518011636.0,9001,13843
E01000894,460,60184.27199999998,542780594.0,9019,13698
E01002823,320,36639.4654,314125923.0,8573,13668
E01004712,797,67944.851,607106616.0,8935,13654
E01000967,509,83006.56999999998,761572286.0,9175,13622
E01002912,606,54099.19,467650193.0,8644,13555
E01033874,243,16173.0,170112686.0,10518,13541
E01000919,526,34914.331999999995,301758437.0,8643,13526
E01002832,472,33231.33180000002,285760045.0,8599,13524
E01000859,522,63376.959999999985,557006856.0,8789,13404
E01001883,647,54613.15000000001,517253325.0,9471,13285
E01004657,485,53192.214000000036,465988286.0,8760,13282
E01002853,194,15124.99,144234608.0,9536,13263
E01004654,972,84592.10700000008,719466689.0,8505,13102
E01033866,565,41374.0,404063919.0,9766,13053
E01035717,723,61033.16640000001,517838032.0,8485,13004
E01002913,934,88985.69500000002,708263419.0,7959,12985
E01035485,243,18092.589999999997,176967405.0,9781,12975
E01004647,555,76926.93999999997,656296777.0,8531,12970
E01002845,676,62758.0012,513078042.0,8176,12958
E01004733,1222,96532.28,787015083.0,8153,12857
E01001893,348,28839.910000000003,261138656.0,9055,12826
E01035489,663,55031.43000000001,493585159.0,8969,12775
E01002887,678,65532.34,527156338.0,8044,12768
E01004646,480,82900.76000000004,689538273.0,8318,12739
E01033711,930,60924.44999999996,555931635.0,9125,12692
E01002868,636,104747.87579999997,853849937.0,8151,12689
E01032739,1411,90865.794,752966015.0,8287,12638
E01033708,753,58322.84,517539576.0,8874,12616
E01034031,557,39495.0,366528109.0,9280,12599
E01002839,774,62422.745399999985,487008848.0,7802,12506
E01004693,698,79004.06229999999,634027389.0,8025,12500
E01004743,722,51050.600000000006,404588047.0,7925,12473
E01004715,627,37986.48799999999,313508411.0,8253,12465
E01004649,651,75422.155,599130953.0,7944,12437
E01004730,870,85325.01999999999,675903003.0,7922,12431
