postcode_district,property_type,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
AL1,ALL,15769,1446801.0,6223430122.0,4302,6053
AL1,D,1722,306888.0,1477018294.0,4813,6615
AL1,F,5710,346140.0,1381378095.0,3991,5748
AL1,S,2910,330908.0,1404071443.0,4243,5900
AL1,T,5427,462865.0,1960962290.0,4237,6019
AL10,ALL,9931,813202.0,2196719251.0,2701,4003
AL10,D,657,88056.0,265795145.0,3018,4421
AL10,F,2709,153262.0,423500737.0,2763,4224
AL10,S,1611,152249.0,454248324.0,2984,4216
AL10,T,4954,419635.0,1053175045.0,2510,3758
AL2,ALL,4859,496746.0,1945326997.0,3916,5470
AL2,D,1294,184070.0,737285079.0,4005,5566
AL2,F,1221,76515.0,278929106.0,3645,5198
AL2,S,1285,137124.0,556247838.0,4057,5621
AL2,T,1059,99037.0,372864974.0,3765,5294
AL3,ALL,8838,917913.0,3878709779.0,4226,5943
AL3,D,1581,247139.0,1090779945.0,4414,6121
AL3,F,1336,84735.0,327207643.0,3862,5564
AL3,S,2185,250284.0,1018595729.0,4070,5673
AL3,T,3736,335755.0,1442126462.0,4295,6108
AL4,ALL,8068,778635.0,3224308194.0,4141,5774
AL4,D,1768,245913.0,1079364021.0,4389,6122
AL4,F,1799,108052.0,336511231.0,3114,4582
AL4,S,2537,276369.0,1221745512.0,4421,6030
AL4,T,1964,148301.0,586687430.0,3956,5590
AL5,ALL,12079,1530318.0,6888100404.0,4501,6286
AL5,D,3829,736785.0,3537333530.0,4801,6643
AL5,F,2604,174378.0,724625456.0,4155,5912
AL5,S,3409,412873.0,1784535150.0,4322,6046
AL5,T,2237,206282.0,841606268.0,4080,5804
AL6,ALL,3604,524412.0,1901479802.0,3626,5075
AL6,D,1928,358944.0,1292028742.0,3600,5047
AL6,F,403,27874.0,106725428.0,3829,5197
AL6,S,722,83618.0,314126512.0,3757,5187
AL6,T,551,53976.0,188599120.0,3494,5022
AL7,ALL,11407,890534.0,2779878685.0,3122,4421
AL7,D,973,110899.0,389539938.0,3513,4948
AL7,F,3571,199077.0,606724504.0,3048,4365
AL7,S,1830,168936.0,540105049.0,3197,4478
AL7,T,5033,411622.0,1243509194.0,3021,4281
AL8,ALL,4049,386686.0,1447800954.0,3744,5234
AL8,D,721,102105.0,425248655.0,4165,5725
AL8,F,884,53088.0,183194958.0,3451,4888
AL8,S,1053,114878.0,433589946.0,3774,5285
AL8,T,1391,116615.0,405767395.0,3480,4911
AL9,ALL,2330,280045.0,1145668513.0,4091,5689
AL9,D,661,125428.0,558166363.0,4450,6190
AL9,F,542,36007.0,137951268.0,3831,5326
AL9,S,492,56531.0,237910823.0,4209,5832
AL9,T,635,62079.0,211640059.0,3409,4757
B1,ALL,5101,321770.0,923849140.0,2871,4217
B1,D,8,724.0,1919000.0,2651,4082
B1,F,4935,304187.0,881200890.0,2897,4277
B1,T,158,16859.0,40729250.0,2416,3134
B10,ALL,3505,334240.0,339997906.0,1017,1579
B10,D,12,1527.0,2043400.0,1338,2121
B10,F,135,6536.0,7309550.0,1118,1750
B10,S,569,58776.0,59939199.0,1020,1613
B10,T,2789,267401.0,270705757.0,1012,1564
B11,ALL,6990,644577.0,787564350.0,1222,1840
B11,D,124,17169.0,34156481.0,1989,2843
B11,F,237,12926.0,20435057.0,1581,2235
B11,S,1180,119944.0,161029562.0,1343,2020
B11,T,5449,494538.0,571943250.0,1157,1752
B12,ALL,2544,210673.0,327579514.0,1555,2227
B12,D,23,2781.0,3980550.0,1431,2327
B12,F,1000,56240.0,146979964.0,2613,3519
B12,S,159,19321.0,20525314.0,1062,1654
B12,T,1362,132331.0,156093686.0,1180,1759
B13,ALL,9144,906886.0,1773213525.0,1955,2828
B13,D,1055,178814.0,415621249.0,2324,3292
B13,F,2893,178293.0,351447760.0,1971,2944
B13,S,2373,285796.0,542796816.0,1899,2736
B13,T,2823,263983.0,463347700.0,1755,2534
B14,ALL,10967,956706.0,1742103724.0,1821,2572
B14,D,557,65199.0,148242921.0,2274,3179
B14,F,1104,65545.0,106049427.0,1618,2341
B14,S,4321,391396.0,732115757.0,1871,2636
B14,T,4985,434566.0,755695619.0,1739,2459
B15,ALL,5140,484574.0,1327043366.0,2739,3922
B15,D,731,148047.0,470152967.0,3176,4463
B15,F,3564,236154.0,628876235.0,2663,3814
B15,S,298,43477.0,105065926.0,2417,3568
B15,T,547,56896.0,122948238.0,2161,3234
B16,ALL,6449,560229.0,1046215348.0,1867,2817
B16,D,360,53213.0,107340125.0,2017,2872
B16,F,3675,229761.0,550482900.0,2396,3713
B16,S,906,122840.0,182358321.0,1485,2192
B16,T,1508,154415.0,206034002.0,1334,1962
B17,ALL,8948,888364.0,2080146320.0,2342,3386
B17,D,1009,163453.0,460725681.0,2819,3972
B17,F,1849,112982.0,249934503.0,2212,3297
B17,S,2228,253442.0,591186993.0,2333,3359
B17,T,3862,358487.0,778299143.0,2171,3167
B18,ALL,3085,232496.0,356588823.0,1534,2341
B18,D,21,2218.0,2864330.0,1291,2010
B18,F,1271,86204.0,198071172.0,2298,3522
B18,S,233,19735.0,23384683.0,1185,1848
B18,T,1560,124339.0,132268638.0,1064,1607
B19,ALL,1635,156131.0,161447309.0,1034,1520
B19,D,57,6420.0,8474950.0,1320,1849
B19,F,234,14931.0,30118401.0,2017,2706
B19,S,208,21466.0,23848375.0,1111,1667
B19,T,1136,113314.0,99005583.0,874,1317
B2,ALL,271,13743.0,42093424.0,3063,4654
B2,F,271,13743.0,42093424.0,3063,4654
B20,ALL,5206,557937.0,745814278.0,1337,1970
B20,D,773,112844.0,189406368.0,1678,2409
B20,F,448,26586.0,32354591.0,1217,1890
B20,S,1654,186307.0,267826583.0,1438,2097
B20,T,2331,232200.0,256226736.0,1103,1663
B21,ALL,4413,407272.0,415496393.0,1020,1547
B21,D,70,7691.0,11641519.0,1514,2218
B21,F,36,2336.0,2881750.0,1234,1865
B21,S,992,100049.0,115686885.0,1156,1726
B21,T,3315,297196.0,285286239.0,960,1467
B23,ALL,12299,987114.0,1414370622.0,1433,2111
B23,D,570,55830.0,108274914.0,1939,2753
B23,F,2492,138706.0,208004420.0,1500,2323
B23,S,4022,351827.0,520855198.0,1480,2147
B23,T,5215,440751.0,577236090.0,1310,1933
B24,ALL,7833,682553.0,1115910937.0,1635,2357
B24,D,841,90102.0,174314771.0,1935,2778
B24,F,949,54387.0,87592943.0,1611,2382
B24,S,3469,314481.0,531510120.0,1690,2409
B24,T,2574,223583.0,322493103.0,1442,2109
B25,ALL,3762,313066.0,434534855.0,1388,2057
B25,D,122,13909.0,26160360.0,1881,2704
B25,F,303,16098.0,22688650.0,1409,2110
B25,S,1229,107880.0,159118479.0,1475,2192
B25,T,2108,175179.0,226567366.0,1293,1917
B26,ALL,10239,821837.0,1475868305.0,1796,2545
B26,D,621,63980.0,125770299.0,1966,2817
B26,F,1229,66940.0,113603026.0,1697,2469
B26,S,6181,513290.0,934109623.0,1820,2573
B26,T,2208,177627.0,302385357.0,1702,2395
B27,ALL,6030,500114.0,799333830.0,1598,2356
B27,D,320,35162.0,67726692.0,1926,2852
B27,F,719,41518.0,67590753.0,1628,2493
B27,S,2312,207437.0,327635634.0,1579,2348
B27,T,2679,215997.0,336380751.0,1557,2256
B28,ALL,8496,804516.0,1571577024.0,1953,2789
B28,D,937,104115.0,238452860.0,2290,3206
B28,F,732,41651.0,75641698.0,1816,2682
B28,S,4468,447161.0,856846291.0,1916,2755
B28,T,2359,211589.0,400636175.0,1893,2676
B29,ALL,10793,984223.0,1694734214.0,1722,2525
B29,D,510,71994.0,194443812.0,2701,3712
B29,F,735,43028.0,88592478.0,2059,2916
B29,S,3799,335065.0,621675232.0,1855,2674
B29,T,5749,534136.0,790022692.0,1479,2240
B3,ALL,1679,107889.0,304222798.0,2820,4099
B3,F,1663,105869.0,297200918.0,2807,4089
B3,T,15,1975.0,6922250.0,3505,4632
B30,ALL,8918,784753.0,1549934749.0,1975,2793
B30,D,498,60819.0,152169944.0,2502,3483
B30,F,1443,82731.0,158109214.0,1911,2791
B30,S,2732,260816.0,550843784.0,2112,2961
B30,T,4245,380387.0,688811807.0,1811,2569
B31,ALL,15620,1264457.0,2321180708.0,1836,2570
B31,D,1416,155041.0,338321459.0,2182,3019
B31,F,2378,140907.0,292914962.0,2079,2908
B31,S,6765,574332.0,1046686112.0,1822,2535
B31,T,5061,394177.0,643258175.0,1632,2323
B32,ALL,7299,604164.0,1038299744.0,1719,2454
B32,D,659,67253.0,160798333.0,2391,3376
B32,F,693,38792.0,56025816.0,1444,2129
B32,S,2678,226604.0,415352119.0,1833,2624
B32,T,3269,271515.0,406123476.0,1496,2131
B33,ALL,7579,602783.0,862159809.0,1430,2069
